Project,Model,Category,TP,TN,FP,FN,Total,Accuracy
fan_controller,gpt-5.4-nano,spice_behaviour,0,1,0,5,6,0.1667
fan_controller,gpt-5.4-nano,theory_layout,3,0,0,0,3,1.0000
fan_controller,llama-3.3-70b-instruct,component_datasheet,3,1,0,2,6,0.6667
fan_controller,llama-3.3-70b-instruct,spice_behaviour,0,1,0,5,6,0.1667
fan_controller,llama-3.3-70b-instruct,theory_layout,2,0,0,1,3,0.6667
stack-chan,claude-sonnet-4.6,component_datasheet,1,4,0,0,5,1.0000
stack-chan,claude-sonnet-4.6,spice_behaviour,0,3,0,3,6,0.5000
stack-chan,claude-sonnet-4.6,theory_layout,1,1,0,2,4,0.5000
stack-chan,gemini-3-flash-preview,component_datasheet,1,4,0,0,5,1.0000
stack-chan,gemini-3-flash-preview,spice_behaviour,0,3,0,3,6,0.5000
stack-chan,gemini-3-flash-preview,theory_layout,3,1,0,0,4,1.0000
stack-chan,gpt-5.4-nano,component_datasheet,1,4,0,0,5,1.0000
stack-chan,gpt-5.4-nano,spice_behaviour,0,3,0,3,6,0.5000
stack-chan,gpt-5.4-nano,theory_layout,2,1,0,1,4,0.7500
stack-chan,llama-3.3-70b-instruct,component_datasheet,1,4,0,0,5,1.0000
stack-chan,llama-3.3-70b-instruct,spice_behaviour,0,3,0,3,6,0.5000
stack-chan,llama-3.3-70b-instruct,theory_layout,2,1,0,1,4,0.7500
TOTAL,,,166,148,4,162,480,0.6542
