Project,Model,Category,TP,TN,FP,FN,Total,Accuracy
stack-chan,claude-sonnet-4.6,component_datasheet,6,13,0,1,20,0.9500
stack-chan,claude-sonnet-4.6,spice_behaviour,0,13,1,6,20,0.6500
stack-chan,claude-sonnet-4.6,theory_layout,14,5,0,1,20,0.9500
stack-chan,gemini-3-flash-preview,component_datasheet,5,13,0,2,20,0.9000
stack-chan,gemini-3-flash-preview,spice_behaviour,0,14,0,6,20,0.7000
stack-chan,gemini-3-flash-preview,theory_layout,15,5,0,0,20,1.0000
stack-chan,gpt-5.4-nano,component_datasheet,2,13,0,5,20,0.7500
stack-chan,gpt-5.4-nano,spice_behaviour,0,14,0,6,20,0.7000
stack-chan,gpt-5.4-nano,theory_layout,6,5,0,9,20,0.5500
stack-chan,llama-3.3-70b-instruct,component_datasheet,2,13,0,5,20,0.7500
stack-chan,llama-3.3-70b-instruct,spice_behaviour,0,14,0,6,20,0.7000
stack-chan,llama-3.3-70b-instruct,theory_layout,10,4,1,5,20,0.7000
TOTAL,,,627,655,23,545,1850,0.6930
