toolmode,project,model,category,accuracy,precision,recall,f1_score,count
NNet&NCir,Meshinger,gemini-3-flash-preview,theory_layout,0.95,0.8333,0.9722,0.8857,20
NNet&NCir,Meshinger,gemini-3-flash-preview,ALL,0.85,0.8043,0.9022,0.8242,60
NNet&NCir,Meshinger,gpt-5.4-nano,component_datasheet,0.3,0.6111,0.5625,0.2929,20
NNet&NCir,Meshinger,gpt-5.4-nano,spice_behaviour,0.45,0.7105,0.5417,0.3732,20
NNet&NCir,Meshinger,gpt-5.4-nano,theory_layout,0.65,0.6111,0.8056,0.5611,20
NNet&NCir,Meshinger,gpt-5.4-nano,ALL,0.4667,0.6522,0.6522,0.4667,60
NNet&NCir,Meshinger,llama-3.3-70b-instruct,component_datasheet,0.25,0.6053,0.5312,0.2327,20
NNet&NCir,Meshinger,llama-3.3-70b-instruct,spice_behaviour,0.5,0.7222,0.5833,0.4505,20
NNet&NCir,Meshinger,llama-3.3-70b-instruct,theory_layout,0.6,0.6,0.7778,0.5238,20
NNet&NCir,Meshinger,llama-3.3-70b-instruct,ALL,0.45,0.6489,0.6413,0.4498,60
NNet&NCir,OPNhydro-r2,claude-sonnet-4.6,component_datasheet,0.8,0.7708,0.8095,0.7802,20
NNet&NCir,OPNhydro-r2,claude-sonnet-4.6,spice_behaviour,0.6316,0.7941,0.6111,0.5522,19
NNet&NCir,OPNhydro-r2,claude-sonnet-4.6,theory_layout,0.9,0.8667,0.8667,0.8667,20
NNet&NCir,OPNhydro-r2,claude-sonnet-4.6,ALL,0.7797,0.7822,0.8076,0.7755,59
NNet&NCir,OPNhydro-r2,gemini-3-flash-preview,component_datasheet,0.9,0.875,0.9286,0.8901,20
NNet&NCir,OPNhydro-r2,gemini-3-flash-preview,spice_behaviour,0.55,0.7632,0.55,0.4357,20
NNet&NCir,OPNhydro-r2,gemini-3-flash-preview,theory_layout,0.95,0.9688,0.9,0.9283,20
NNet&NCir,OPNhydro-r2,gemini-3-flash-preview,ALL,0.8,0.8053,0.8352,0.7964,60
NNet&NCir,OPNhydro-r2,gpt-5.4-nano,component_datasheet,0.45,0.6765,0.6071,0.4373,20
NNet&NCir,OPNhydro-r2,gpt-5.4-nano,spice_behaviour,0.5,0.25,0.5,0.3333,20
NNet&NCir,OPNhydro-r2,gpt-5.4-nano,theory_layout,0.6,0.6263,0.6667,0.5833,20
NNet&NCir,OPNhydro-r2,gpt-5.4-nano,ALL,0.5167,0.6667,0.6172,0.5055,60
NNet&NCir,OPNhydro-r2,llama-3.3-70b-instruct,component_datasheet,0.5882,0.6818,0.7308,0.5825,17
NNet&NCir,OPNhydro-r2,llama-3.3-70b-instruct,spice_behaviour,0.4706,0.25,0.4444,0.32,17
NNet&NCir,OPNhydro-r2,llama-3.3-70b-instruct,theory_layout,0.3889,0.6333,0.6071,0.387,18
NNet&NCir,OPNhydro-r2,llama-3.3-70b-instruct,ALL,0.4808,0.6405,0.5992,0.4712,52
NNet&NCir,PortalHardware,claude-sonnet-4.6,component_datasheet,0.85,0.8125,0.9,0.8291,20
NNet&NCir,PortalHardware,claude-sonnet-4.6,spice_behaviour,0.9,0.9231,0.8889,0.8958,20
NNet&NCir,PortalHardware,claude-sonnet-4.6,theory_layout,1.0,1.0,1.0,1.0,20
NNet&NCir,PortalHardware,claude-sonnet-4.6,ALL,0.9167,0.8913,0.9405,0.9074,60
NNet&NCir,PortalHardware,gemini-3-flash-preview,component_datasheet,0.85,0.7976,0.8333,0.8119,20
NNet&NCir,PortalHardware,gemini-3-flash-preview,spice_behaviour,0.7,0.8235,0.6667,0.6429,20
NNet&NCir,PortalHardware,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,20
NNet&NCir,PortalHardware,gemini-3-flash-preview,ALL,0.85,0.8257,0.877,0.8369,60
NNet&NCir,PortalHardware,gpt-5.4-nano,component_datasheet,0.4,0.6471,0.6,0.3939,20
NNet&NCir,PortalHardware,gpt-5.4-nano,spice_behaviour,0.6,0.7895,0.5556,0.4667,20
NNet&NCir,PortalHardware,gpt-5.4-nano,theory_layout,0.7,0.625,0.8333,0.6,20
NNet&NCir,PortalHardware,gpt-5.4-nano,ALL,0.5667,0.7045,0.6905,0.5662,60
NNet&NCir,PortalHardware,llama-3.3-70b-instruct,component_datasheet,0.5,0.6667,0.6667,0.5,20
NNet&NCir,PortalHardware,llama-3.3-70b-instruct,spice_behaviour,0.6,0.7895,0.5556,0.4667,20
NNet&NCir,PortalHardware,llama-3.3-70b-instruct,theory_layout,0.6,0.6,0.7778,0.5238,20
NNet&NCir,PortalHardware,llama-3.3-70b-instruct,ALL,0.5667,0.7045,0.6905,0.5662,60
NNet&NCir,fan_controller,claude-sonnet-4.6,component_datasheet,0.75,0.7917,0.8077,0.7494,20
NNet&NCir,fan_controller,claude-sonnet-4.6,spice_behaviour,0.8,0.8571,0.8,0.7917,20
NNet&NCir,fan_controller,claude-sonnet-4.6,theory_layout,1.0,1.0,1.0,1.0,20
NNet&NCir,fan_controller,claude-sonnet-4.6,ALL,0.85,0.85,0.8846,0.8465,60
NNet&NCir,fan_controller,gemini-3-flash-preview,component_datasheet,0.8,0.8182,0.8462,0.798,20
NNet&NCir,fan_controller,gemini-3-flash-preview,spice_behaviour,0.95,0.9545,0.95,0.9499,20
NNet&NCir,fan_controller,gemini-3-flash-preview,theory_layout,1.0,1.0,1.0,1.0,20
NNet&NCir,fan_controller,gemini-3-flash-preview,ALL,0.9167,0.9038,0.9359,0.9126,60
NNet&NCir,fan_controller,gpt-5.4-nano,component_datasheet,0.4,0.6842,0.5385,0.3407,20
NNet&NCir,fan_controller,gpt-5.4-nano,spice_behaviour,0.55,0.7632,0.55,0.4357,20
NNet&NCir,fan_controller,gpt-5.4-nano,theory_layout,0.5,0.6429,0.6875,0.4949,20
NNet&NCir,fan_controller,gpt-5.4-nano,ALL,0.4833,0.7019,0.6026,0.4579,60
