toolmode,model,category,accuracy,precision,recall,f1_score,total_questions,num_projects
PNet&PCir,gemini-3-flash-preview,ALL,0.9334,0.92,0.9393,0.927,480,8
PNet&PCir,gemini-3-flash-preview,component_datasheet,0.8812,0.868,0.9077,0.8726,160,8
PNet&PCir,gemini-3-flash-preview,spice_behaviour,0.9437,0.9399,0.9512,0.9415,160,8
PNet&PCir,gemini-3-flash-preview,theory_layout,0.975,0.9604,0.9716,0.9594,160,8
PNet&PCir,gpt-5.4-nano,ALL,0.8791,0.8686,0.8989,0.8717,480,8
PNet&PCir,gpt-5.4-nano,component_datasheet,0.7188,0.7761,0.786,0.7148,160,8
PNet&PCir,gpt-5.4-nano,spice_behaviour,0.9437,0.9399,0.9512,0.9415,160,8
PNet&PCir,gpt-5.4-nano,theory_layout,0.975,0.9604,0.9716,0.9594,160,8
PNet&PCir,llama-3.3-70b-instruct,ALL,0.8438,0.8412,0.8712,0.8373,480,8
PNet&PCir,llama-3.3-70b-instruct,component_datasheet,0.6562,0.7431,0.7295,0.65,160,8
PNet&PCir,llama-3.3-70b-instruct,spice_behaviour,0.9,0.9098,0.9037,0.8946,160,8
PNet&PCir,llama-3.3-70b-instruct,theory_layout,0.975,0.9604,0.9716,0.9594,160,8
